temp_bin,temp_label,humidity_bin,humidity_label,soil_bin,soil_label,light_bin,light_label,temperature_c,humidity_pct,soil_pct,light_pct,action,action_name,reward,next_temperature_c,next_humidity_pct,next_soil_pct,replicate
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.39,26.2,12.75,11.68,0,OFF,-124.855,19.89,28.2,12.75,0
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.66,31.41,18.92,10.04,0,OFF,-102.684,20.16,33.41,18.92,1
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,19.78,26.24,12.19,15.06,0,OFF,-127.927,19.28,28.24,12.19,2
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,18.67,27.59,16.5,15.54,0,OFF,-120.25,18.17,29.59,16.5,3
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,19.22,30.71,18.09,9.08,1,MIST_LOW,-79.504,17.52,41.71,19.09,0
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.86,31.59,13.4,10.87,1,MIST_LOW,-82.718,19.16,42.59,14.4,1
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,21.28,28.69,10.93,10.16,1,MIST_LOW,-91.187,19.58,39.69,11.93,2
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.97,30.83,18.07,17.76,1,MIST_LOW,-73.749,19.27,41.83,19.07,3
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.1,33.78,13.79,15.62,2,MIST_HIGH,-81.03,17.3,51.78,15.79,0
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.92,30.95,18.62,15.93,2,MIST_HIGH,-72.796,18.12,48.95,20.62,1
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.57,26.37,12.28,12.47,2,MIST_HIGH,-94.555,17.77,44.37,14.28,2
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,18.82,27.86,11.01,12.34,2,MIST_HIGH,-100.424,16.02,45.86,13.01,3
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.38,28.92,13.7,11.51,3,PUMP,-25.501,19.58,32.92,31.7,0
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,19.35,33.49,16.48,16.31,3,PUMP,-15.65,18.55,37.49,34.48,1
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,19.08,31.83,11.63,13.55,3,PUMP,-29.342,18.28,35.83,29.63,2
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,21.37,31.12,15.57,17.22,3,PUMP,-14.886,20.57,35.12,33.57,3
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.96,32.21,12.29,9.39,4,PUMP_MIST_LOW,-18.685,18.96,44.21,27.29,0
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,19.48,28.14,12.11,20.31,4,PUMP_MIST_LOW,-30.296,17.48,40.14,27.11,1
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,21.05,28.52,16.55,13.75,4,PUMP_MIST_LOW,-15.336,19.05,40.52,31.55,2
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,21.16,29.67,12.65,11.96,4,PUMP_MIST_LOW,-21.35,19.16,41.67,27.65,3
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,20.17,28.1,15.85,19.77,5,PUMP_MIST_HIGH,-17.611,17.17,46.1,33.85,0
0,COOL,0,VERY_DRY,0,VERY_DRY,0,DARK,19.72,27.75,19.98,15.11,5,PUMP_MIST_HIGH,-10.946,16.72,45.75,37.98,1
