state_index,temp_bin,humidity_bin,soil_bin,light_bin,action,action_name
0,0,0,0,0,4,PUMP_MIST_LOW
1,0,0,0,1,5,PUMP_MIST_HIGH
2,0,0,0,2,5,PUMP_MIST_HIGH
3,0,0,0,3,5,PUMP_MIST_HIGH
4,0,0,1,0,5,PUMP_MIST_HIGH
5,0,0,1,1,5,PUMP_MIST_HIGH
6,0,0,1,2,5,PUMP_MIST_HIGH
7,0,0,1,3,5,PUMP_MIST_HIGH
8,0,0,2,0,1,MIST_LOW
9,0,0,2,1,2,MIST_HIGH
10,0,0,2,2,2,MIST_HIGH
11,0,0,2,3,2,MIST_HIGH
12,0,0,3,0,2,MIST_HIGH
13,0,0,3,1,2,MIST_HIGH
14,0,0,3,2,2,MIST_HIGH
15,0,0,3,3,2,MIST_HIGH
16,0,1,0,0,4,PUMP_MIST_LOW
17,0,1,0,1,5,PUMP_MIST_HIGH
18,0,1,0,2,5,PUMP_MIST_HIGH
19,0,1,0,3,5,PUMP_MIST_HIGH
20,0,1,1,0,4,PUMP_MIST_LOW
21,0,1,1,1,4,PUMP_MIST_LOW
22,0,1,1,2,5,PUMP_MIST_HIGH
23,0,1,1,3,5,PUMP_MIST_HIGH
24,0,1,2,0,1,MIST_LOW
25,0,1,2,1,1,MIST_LOW
26,0,1,2,2,2,MIST_HIGH
27,0,1,2,3,2,MIST_HIGH
28,0,1,3,0,1,MIST_LOW
29,0,1,3,1,1,MIST_LOW
30,0,1,3,2,2,MIST_HIGH
31,0,1,3,3,2,MIST_HIGH
32,0,2,0,0,3,PUMP
33,0,2,0,1,3,PUMP
34,0,2,0,2,3,PUMP
35,0,2,0,3,3,PUMP
36,0,2,1,0,3,PUMP
37,0,2,1,1,3,PUMP
38,0,2,1,2,3,PUMP
39,0,2,1,3,3,PUMP
40,0,2,2,0,0,OFF
41,0,2,2,1,0,OFF
42,0,2,2,2,0,OFF
43,0,2,2,3,0,OFF
44,0,2,3,0,0,OFF
45,0,2,3,1,0,OFF
46,0,2,3,2,0,OFF
47,0,2,3,3,0,OFF
48,0,3,0,0,3,PUMP
49,0,3,0,1,3,PUMP
50,0,3,0,2,3,PUMP
51,0,3,0,3,3,PUMP
52,0,3,1,0,3,PUMP
53,0,3,1,1,3,PUMP
54,0,3,1,2,3,PUMP
55,0,3,1,3,3,PUMP
56,0,3,2,0,0,OFF
57,0,3,2,1,0,OFF
58,0,3,2,2,0,OFF
59,0,3,2,3,0,OFF
60,0,3,3,0,0,OFF
61,0,3,3,1,0,OFF
62,0,3,3,2,0,OFF
63,0,3,3,3,0,OFF
64,1,0,0,0,3,PUMP
65,1,0,0,1,4,PUMP_MIST_LOW
66,1,0,0,2,4,PUMP_MIST_LOW
67,1,0,0,3,5,PUMP_MIST_HIGH
68,1,0,1,0,3,PUMP
69,1,0,1,1,4,PUMP_MIST_LOW
70,1,0,1,2,5,PUMP_MIST_HIGH
71,1,0,1,3,4,PUMP_MIST_LOW
72,1,0,2,0,1,MIST_LOW
73,1,0,2,1,2,MIST_HIGH
74,1,0,2,2,2,MIST_HIGH
75,1,0,2,3,2,MIST_HIGH
76,1,0,3,0,2,MIST_HIGH
77,1,0,3,1,2,MIST_HIGH
78,1,0,3,2,1,MIST_LOW
79,1,0,3,3,5,PUMP_MIST_HIGH
80,1,1,0,0,4,PUMP_MIST_LOW
81,1,1,0,1,4,PUMP_MIST_LOW
82,1,1,0,2,4,PUMP_MIST_LOW
83,1,1,0,3,4,PUMP_MIST_LOW
84,1,1,1,0,3,PUMP
85,1,1,1,1,1,MIST_LOW
86,1,1,1,2,3,PUMP
87,1,1,1,3,5,PUMP_MIST_HIGH
88,1,1,2,0,1,MIST_LOW
89,1,1,2,1,2,MIST_HIGH
90,1,1,2,2,1,MIST_LOW
91,1,1,2,3,2,MIST_HIGH
92,1,1,3,0,1,MIST_LOW
93,1,1,3,1,0,OFF
94,1,1,3,2,2,MIST_HIGH
95,1,1,3,3,2,MIST_HIGH
96,1,2,0,0,3,PUMP
97,1,2,0,1,3,PUMP
98,1,2,0,2,3,PUMP
99,1,2,0,3,3,PUMP
100,1,2,1,0,3,PUMP
101,1,2,1,1,3,PUMP
102,1,2,1,2,3,PUMP
103,1,2,1,3,3,PUMP
104,1,2,2,0,0,OFF
105,1,2,2,1,0,OFF
106,1,2,2,2,0,OFF
107,1,2,2,3,0,OFF
108,1,2,3,0,0,OFF
109,1,2,3,1,0,OFF
110,1,2,3,2,0,OFF
111,1,2,3,3,1,MIST_LOW
112,1,3,0,0,4,PUMP_MIST_LOW
113,1,3,0,1,3,PUMP
114,1,3,0,2,3,PUMP
115,1,3,0,3,3,PUMP
116,1,3,1,0,3,PUMP
117,1,3,1,1,3,PUMP
118,1,3,1,2,3,PUMP
119,1,3,1,3,3,PUMP
120,1,3,2,0,0,OFF
121,1,3,2,1,0,OFF
122,1,3,2,2,0,OFF
123,1,3,2,3,0,OFF
124,1,3,3,0,0,OFF
125,1,3,3,1,0,OFF
126,1,3,3,2,0,OFF
127,1,3,3,3,0,OFF
128,2,0,0,0,5,PUMP_MIST_HIGH
129,2,0,0,1,5,PUMP_MIST_HIGH
130,2,0,0,2,5,PUMP_MIST_HIGH
131,2,0,0,3,5,PUMP_MIST_HIGH
132,2,0,1,0,4,PUMP_MIST_LOW
133,2,0,1,1,5,PUMP_MIST_HIGH
134,2,0,1,2,5,PUMP_MIST_HIGH
135,2,0,1,3,5,PUMP_MIST_HIGH
136,2,0,2,0,2,MIST_HIGH
137,2,0,2,1,2,MIST_HIGH
138,2,0,2,2,2,MIST_HIGH
139,2,0,2,3,2,MIST_HIGH
140,2,0,3,0,2,MIST_HIGH
141,2,0,3,1,2,MIST_HIGH
142,2,0,3,2,2,MIST_HIGH
143,2,0,3,3,2,MIST_HIGH
144,2,1,0,0,5,PUMP_MIST_HIGH
145,2,1,0,1,5,PUMP_MIST_HIGH
146,2,1,0,2,5,PUMP_MIST_HIGH
147,2,1,0,3,5,PUMP_MIST_HIGH
148,2,1,1,0,5,PUMP_MIST_HIGH
149,2,1,1,1,5,PUMP_MIST_HIGH
150,2,1,1,2,5,PUMP_MIST_HIGH
151,2,1,1,3,5,PUMP_MIST_HIGH
152,2,1,2,0,2,MIST_HIGH
153,2,1,2,1,2,MIST_HIGH
154,2,1,2,2,2,MIST_HIGH
155,2,1,2,3,2,MIST_HIGH
156,2,1,3,0,1,MIST_LOW
157,2,1,3,1,2,MIST_HIGH
158,2,1,3,2,2,MIST_HIGH
159,2,1,3,3,2,MIST_HIGH
160,2,2,0,0,3,PUMP
161,2,2,0,1,3,PUMP
162,2,2,0,2,3,PUMP
163,2,2,0,3,3,PUMP
164,2,2,1,0,3,PUMP
165,2,2,1,1,3,PUMP
166,2,2,1,2,3,PUMP
167,2,2,1,3,4,PUMP_MIST_LOW
168,2,2,2,0,0,OFF
169,2,2,2,1,0,OFF
170,2,2,2,2,0,OFF
171,2,2,2,3,1,MIST_LOW
172,2,2,3,0,0,OFF
173,2,2,3,1,0,OFF
174,2,2,3,2,0,OFF
175,2,2,3,3,0,OFF
176,2,3,0,0,3,PUMP
177,2,3,0,1,3,PUMP
178,2,3,0,2,3,PUMP
179,2,3,0,3,5,PUMP_MIST_HIGH
180,2,3,1,0,3,PUMP
181,2,3,1,1,5,PUMP_MIST_HIGH
182,2,3,1,2,5,PUMP_MIST_HIGH
183,2,3,1,3,5,PUMP_MIST_HIGH
184,2,3,2,0,2,MIST_HIGH
185,2,3,2,1,2,MIST_HIGH
186,2,3,2,2,2,MIST_HIGH
187,2,3,2,3,2,MIST_HIGH
188,2,3,3,0,0,OFF
189,2,3,3,1,2,MIST_HIGH
190,2,3,3,2,2,MIST_HIGH
191,2,3,3,3,0,OFF
192,3,0,0,0,5,PUMP_MIST_HIGH
193,3,0,0,1,5,PUMP_MIST_HIGH
194,3,0,0,2,5,PUMP_MIST_HIGH
195,3,0,0,3,5,PUMP_MIST_HIGH
196,3,0,1,0,4,PUMP_MIST_LOW
197,3,0,1,1,5,PUMP_MIST_HIGH
198,3,0,1,2,5,PUMP_MIST_HIGH
199,3,0,1,3,5,PUMP_MIST_HIGH
200,3,0,2,0,2,MIST_HIGH
201,3,0,2,1,2,MIST_HIGH
202,3,0,2,2,2,MIST_HIGH
203,3,0,2,3,2,MIST_HIGH
204,3,0,3,0,2,MIST_HIGH
205,3,0,3,1,2,MIST_HIGH
206,3,0,3,2,2,MIST_HIGH
207,3,0,3,3,2,MIST_HIGH
208,3,1,0,0,3,PUMP
209,3,1,0,1,5,PUMP_MIST_HIGH
210,3,1,0,2,5,PUMP_MIST_HIGH
211,3,1,0,3,5,PUMP_MIST_HIGH
212,3,1,1,0,5,PUMP_MIST_HIGH
213,3,1,1,1,5,PUMP_MIST_HIGH
214,3,1,1,2,5,PUMP_MIST_HIGH
215,3,1,1,3,5,PUMP_MIST_HIGH
216,3,1,2,0,1,MIST_LOW
217,3,1,2,1,2,MIST_HIGH
218,3,1,2,2,2,MIST_HIGH
219,3,1,2,3,2,MIST_HIGH
220,3,1,3,0,2,MIST_HIGH
221,3,1,3,1,2,MIST_HIGH
222,3,1,3,2,2,MIST_HIGH
223,3,1,3,3,2,MIST_HIGH
224,3,2,0,0,3,PUMP
225,3,2,0,1,3,PUMP
226,3,2,0,2,3,PUMP
227,3,2,0,3,3,PUMP
228,3,2,1,0,3,PUMP
229,3,2,1,1,3,PUMP
230,3,2,1,2,3,PUMP
231,3,2,1,3,4,PUMP_MIST_LOW
232,3,2,2,0,0,OFF
233,3,2,2,1,0,OFF
234,3,2,2,2,1,MIST_LOW
235,3,2,2,3,1,MIST_LOW
236,3,2,3,0,0,OFF
237,3,2,3,1,0,OFF
238,3,2,3,2,1,MIST_LOW
239,3,2,3,3,1,MIST_LOW
240,3,3,0,0,5,PUMP_MIST_HIGH
241,3,3,0,1,3,PUMP
242,3,3,0,2,3,PUMP
243,3,3,0,3,4,PUMP_MIST_LOW
244,3,3,1,0,5,PUMP_MIST_HIGH
245,3,3,1,1,3,PUMP
246,3,3,1,2,5,PUMP_MIST_HIGH
247,3,3,1,3,5,PUMP_MIST_HIGH
248,3,3,2,0,2,MIST_HIGH
249,3,3,2,1,0,OFF
250,3,3,2,2,0,OFF
251,3,3,2,3,0,OFF
252,3,3,3,0,0,OFF
253,3,3,3,1,0,OFF
254,3,3,3,2,0,OFF
255,3,3,3,3,0,OFF
